sampleID	Occurence_Microstates_A	Occurence_Microstates_B	Occurence_Microstates_C	Occurence_Microstates_D	Occurence_Microstates_E	Occurence_Microstates_F	Occurence_Microstates_G	Duration_Microstates_A	Duration_Microstates_B	Duration_Microstates_C	Duration_Microstates_D	Duration_Microstates_E	Duration_Microstates_F	Duration_Microstates_G
LCC1068_0	1.825	1.683333333	2.008333333	2.008333333	2.025	1.541666667	1.558333333	82.26484018	80.55445545	86.5560166	78.45643154	78.48559671	67.26486486	77.15508021
LCC1069_0	1.952830189	2.056603774	2.235849057	1.245283019	2.056603774	1.839622642	1.509433962	80.8115942	75.98165138	86.04219409	74.12121212	79.46788991	72.51282051	69.175
LCC1069_52	1.7	2.723076923	2.438461538	1.315384615	1.769230769	1.530769231	1.723076923	73.86425339	87.90960452	79.43217666	69.96491228	70.97391304	67.59798995	69.80357143
LCC1070_0	2.918032787	2.62295082	1.327868852	1.155737705	1.983606557	1.639344262	1.704918033	80.3258427	73.05	70.81481481	64.68085106	76.90909091	71.54	79.40384615
LCC1071_0	2.129310345	1.801724138	2.060344828	1.456896552	2.025862069	1.767241379	1.50862069	79.22267206	77.72248804	78.9623431	79.8816568	84.54468085	77.32682927	69.12
LCC1071_52	2.221153846	2.105769231	2.076923077	1.153846154	2.326923077	2.144230769	1.375	72.24242424	75.30593607	81.64814815	66.73333333	79.98347107	71.26457399	69.42657343
LCC1072_0	1.893939394	1.916666667	2.742424242	1.318181818	1.674242424	1.568181818	1.590909091	79.952	78.48221344	89.56906077	74.13793103	72.70588235	70.647343	76.85714286
LCC1072_52	2.242857143	2.357142857	2.0	1.857142857	1.385714286	1.528571429	1.542857143	79.38853503	83.80606061	77.97142857	82.09230769	71.34020619	68.37383178	73.0
LCC1073_0	2.373134328	1.895522388	2.313432836	1.388059701	1.940298507	1.671641791	1.529850746	84.27672956	72.37795276	83.49677419	66.27956989	75.64615385	72.57142857	71.6097561
LCC1073_52	2.322368421	2.039473684	2.618421053	1.276315789	1.934210526	1.782894737	1.467105263	79.04815864	76.60645161	80.91457286	64.88659794	73.17006803	70.95202952	66.43946188
LCC1074_0	2.105263158	1.728070175	2.333333333	1.657894737	2.149122807	1.745614035	1.394736842	76.46666667	74.1319797	81.20300752	72.04232804	77.37142857	79.03517588	70.08805031
LCC1074_52	1.833333333	2.283333333	2.216666667	1.75	1.2	1.766666667	1.333333333	69.81818182	89.34306569	84.30075188	90.8952381	72.11111111	77.81132075	73.55
LCC1075_0	2.089285714	2.017857143	2.125	1.642857143	1.571428571	1.928571429	1.392857143	80.51282051	76.0	79.09243697	85.26086957	72.5	79.92592593	73.38461538
