subjectID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	dominance_gini_0	diversity_shannon_0	diversity_gini_simpson_0	Faiths_PD_0
LCC1049	-8.047143913861927	-1.5064700651565848	2.1337443059384045	-2.1952912499940536	-0.12953169069516376	3.8407338074063877	2.173119579651407	1.3746625894375624	-0.7906339166639806	0.5245717178381564	0.993836745734914	2.44448615029623	0.789806787482975	4.21245655335
LCC1050	-36.3824465358682	-5.651158970694768	1.2436279365982739	-7.811962623125236	0.832450223054589	-8.123204485100821	-0.40580256606426574	0.5813600477468004	-1.3050720948531567	-0.6517561631654628	0.988314908349153	3.29213361243923	0.934735850403942	4.72846902115
LCC1051	7.915158982130737	0.45638905168031724	-1.5006339351974822	1.9452521642365124	-1.3876107551923527	-0.4405753572043856	-0.4773795672808771	-2.656129920011016	-0.6298890666080291	1.494650425009779	0.995635127674602	2.33067286647456	0.849354617712673	2.13534276375
LCC1052	-7.539621705727696	-1.5662974821345619	-2.006376247252334	2.246364213548597	-0.9116379086359833	-0.10490758787050428	-0.6925498731477977	-1.4045088229960865	0.7780970812776797	-0.36074741432029817	0.995263480548772	2.43105149981007	0.871633820329824	3.37242831155
LCC1053	-25.127817462623987	-3.8604768619580425	-0.6159597085860509	0.4050008553964858	1.4498986245019676	-0.4761975504938715	-0.9106835949229629	-1.1159091739577318	0.8204500939439582	-1.6619016385100802	0.992266620295575	2.92039902993141	0.923288519706211	4.83306378085
LCC1054	19.33330163288447	2.0126486998148976	1.0698429927580628	1.8029115824977633	-1.666570552857455	0.9240132873171245	-1.2503474755440809	0.955247254498712	-0.1828240026019132	-0.10281502290756431	0.997554738176144	1.64464507529722	0.659988857277056	2.7976197699500003
LCC1055	-15.735845284731491	-2.6485371673029716	-0.6783488655996165	-1.344316676065536	0.36105503524547705	0.9477235568438827	0.24851227747727994	-0.3884095061862792	0.10518319686345311	-1.5005309374439504	0.993315677158374	2.75349450720384	0.896524229729337	3.95333092655
LCC1056	11.96728695648439	1.0751869769879436	0.8795833776996418	-1.4632693460091257	0.6702933401578149	0.08788831582862147	-0.13924999869186847	1.4053540228022185	0.015143162050234506	-0.6326776126603939	0.995715170299878	2.3336055895994	0.866165520404177	3.35861119415
LCC1057	11.29004503635731	1.0503146345528558	3.131811433596608	-1.1371185569525737	1.022734203725299	-0.4420540015494725	-0.8610365472553746	2.1711704922366395	-1.030138184876147	0.9147044083440918	0.995389141683341	2.1996768286593	0.756121330739878	3.5511430847500005
LCC1058	28.079743892410544	2.96621270715838	-1.6683404627386529	3.1754231168291183	-0.09324891258352798	0.6982199006585348	0.9165600478287887	-3.3800551202220834	0.8523533305113604	0.2356927393072792	0.997280302809201	1.8094743791294	0.720967157930701	2.12130605785
