	dominance_gini	observed	diversity_shannon	diversity_gini_simpson	Faiths_PD
LCC2001_0	0.995780198345284	43	2.31453763678737	0.8560381743891	3.3413898182500006
LCC1049_12	0.985170687577003	126	3.43703635396929	0.926009490322367	4.87014777045
LCC1045_0	0.996416586017831	40	2.07876130765508	0.800903426545397	2.9912839969500005
LCC1125_0	0.988828103916161	112	3.224001707223	0.92767011988758	4.51986266585
LCC2053_0	0.994172162982254	58	2.63994808073582	0.894762851136545	3.5797027283500005
LCC1089_0	0.996239536027704	48	2.15157812400445	0.80180618982241	2.6494635731500003
LCC1061_52	0.987902637565773	205	3.20228106056983	0.92497199460967	1.4710636690500003
LCC1018_52	0.992152022428554	105	2.8493005821635	0.898848455908643	3.68308700675
LCC1144_52	0.977236090884119	202	3.95490512737165	0.967793511082893	2.91542555965
LCC2039_0	0.991102400992831	82	3.02525798134036	0.92040852679724	3.78089462735
LCC1149_12	0.996438989520133	55	2.06406870314369	0.78351152517668	3.75407037555
LCC1072_12	0.989301580893754	72	3.22848002627261	0.937581720443675	4.34487665615
LCC2056_0	0.995504535135136	63	2.14212349391083	0.7363883206903	3.61932080265
LCC1126_52	0.994319232399422	78	2.56103545782497	0.872926049042765	3.42647977475
LCC1033_12	0.993461808194222	59	2.73096070762937	0.891650167708679	4.12546061145
LCC1135_52	0.989426137010481	146	3.14109029908975	0.92026967599026	2.9640551705500005
LCC1083_12	0.997799318202436	28	1.6659279411891	0.740478725266578	2.09995986425
LCC1139_52	0.983519912246399	220	3.42370938050363	0.915944857268702	3.43517666825
LCC1129_12	0.993945456370657	59	2.63110700970317	0.88278075213844	3.61182358505
LCC1149_0	0.99400826058527	78	2.643201704719	0.891060371554463	3.0868907632500004
LCC1058_12	0.995449637686145	52	2.39585047724328	0.872537832329665	3.3261268390500005
LCC1040_52	0.988502543968844	150	3.23650897692821	0.927974530045597	4.58997975565
LCC1038_12	0.993068611535202	77	2.66316186559279	0.853129585794272	4.17696614825
LCC1082_0	0.997705451360178	28	1.70842226925834	0.747458889453675	2.12463183355
LCC1029_0	0.996957194786729	70	1.78738847539729	0.676840913652836	3.38500156955
LCC1008_52	0.992485949875673	130	2.49458898732156	0.789097548958229	2.6666909600499995
LCC1153_12	0.992780425818482	74	2.79038782000917	0.88912280388181	4.86895410625
LCC1049_0	0.993836745734914	61	2.44448615029623	0.789806787482975	4.21245655335
LCC1053_52	0.992953004951803	99	2.60400540594942	0.841241441961143	2.76161599115
