sampleID	Temporal_Gyrus_(mid)_Left_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_Left_Supramarginal_Gyrus_left	Superior_Frontal_Gyrus_(ventral)_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_right_Supramarginal_Gyrus_left	Temporal_Gyrus_(mid)_right_Supramarginal_Gyrus_left	Supramarginal_Gyrus_right_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_Left_Temporal_Gyrus_(mid)_left	Superior_Frontal_Gyrus_(ventral)_Temporal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Temporal_Gyrus_(mid)_left	Temporal_Gyrus_(mid)_right_Temporal_Gyrus_(mid)_left	Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_left	Superior_Frontal_Gyrus_(ventral)_Frontal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_left	Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_left	Supramarginal_Gyrus_right_Frontal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Superior_Frontal_Gyrus_(ventral)	Supramarginal_Gyrus_right_Superior_Frontal_Gyrus_(ventral)	Temporal_Gyrus_(mid)_right_Superior_Frontal_Gyrus_(ventral)	Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_right	Supramarginal_Gyrus_right_Frontal_Gyrus_(mid)_right	Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_right
LCC1044_52	-0.219734809	0.180769884	0.225566852	0.580018416	0.704058917	0.169161908	0.185893446	0.44826108	-0.482487762	-0.389042494	-0.149422878	0.788279027	0.509772383	0.504495358	0.428876757	0.290409603	0.027282011	0.404277096	1.498205175	0.303133338	0.108628539
LCC1045_52	0.118871159	0.125273314	0.193177682	0.143153229	0.260384992	0.218315907	0.558054548	0.474363708	0.242713322	0.268535555	0.12243824	0.899045025	0.662723424	0.456684181	-0.004862209	0.876304559	-0.070492055	0.685588806	0.864112544	0.013474296	0.201996431
LCC1046_0	0.799536132	0.910462402	0.364326099	0.588303914	0.683339034	0.503901417	1.067829774	0.517774569	0.635604459	0.745082885	0.304932596	0.406706467	0.935655505	1.041211222	0.516850857	0.092140662	0.196864578	0.228528561	1.02465327	0.536199582	0.873272682
LCC1046_52	0.766989409	0.384469453	0.250552314	0.250014575	0.355130868	0.544269884	0.591077378	0.366078143	0.212281027	0.411759916	0.280867632	1.14898913	0.723837726	0.500309976	0.25479944	0.741551069	0.168693207	0.509998551	1.119257681	0.564934788	0.798328235
LCC1047_52	0.905291623	0.408829258	0.353268109	0.695496538	-0.151809811	0.005666694	0.299061569	0.375569452	1.031731447	-0.154124665	0.30139873	0.508938468	0.140201704	0.252801091	0.206361336	0.401086143	0.343886307	0.060579253	-0.277058234	0.133740065	0.284245825
LCC1050_0	0.711676751	0.499395424	0.014037746	0.36378108	0.27905071	0.374821992	0.686646275	0.411643334	0.580659105	0.653291318	0.402119487	0.731048042	0.803583396	1.175581868	0.850731233	0.807983741	0.343781898	0.818846031	0.676976822	0.296070061	0.781861185
LCC1050_52	0.757655629	0.836423793	0.647361686	0.549353365	0.094577071	0.438086929	0.986995299	0.559335054	0.887517546	-0.171148601	0.043488821	1.005602763	0.952074956	0.203645147	0.243510958	0.614354788	0.218206851	0.327464194	0.079476084	0.066570009	0.174730712
LCC1051_52	0.598449863	0.490190089	0.322000379	0.22743547	0.409746379	0.549326809	0.885262931	0.763771671	0.678562816	0.915879811	1.026086983	0.773862413	0.86852885	0.752786233	0.700501054	0.689528249	0.675757535	0.43310636	0.616391029	0.591643692	0.899283655
LCC1052_52	0.15760519	-0.216441273	-0.313138233	0.120675653	-0.30859053	-0.109913045	0.357921705	0.315057086	0.410411442	0.563249528	0.144584523	0.938261828	0.750347473	0.604058952	0.16958827	0.614640417	-0.043522226	0.568697391	0.562237713	0.142976945	0.213094236
LCC1053_52	1.111812153	0.611396555	0.513764378	0.658196091	0.655305399	1.021354164	0.69252704	0.51939258	0.655442743	0.583482133	0.937223287	0.855603456	0.740164406	0.727653569	0.897760916	0.959756482	0.604731996	0.632322792	0.76241361	0.751264701	0.840422088
