subjectID	Household_heads_income	Mothers_income	Total_monthly_income	Family_expenditure_food_clothes_utilities	Monthly_total_expenditure
LCC1049	14000	0	26000	15000	21500
LCC1050	15000	0	15000	7000	11000
LCC1051	20000	0	32000	13000	14000
LCC1052	24000	0	59000	30000	40000
LCC1053	10000	0	15000	12000	15000
LCC1054	15000	0	15000	6000	9600
LCC1055	25000	0	25500	17000	18500
LCC1056	15000	0	15000	5000	7500
LCC1057	15000	0	16500	14000	14500
LCC1058	12000	2000	14000	6000	10000
LCC1059	20000	0	35000	13000	21500
LCC1060	15000	0	28000	15000	24500
LCC1061	12000	0	12000	3000	4000
LCC1062	15000	0	15000	5000	10000
LCC1063	10000	0	30000	10000	17000
LCC1064	20000	0	20000	10000	20000
LCC1065	12000	3000	15000	7000	12000
LCC1066	12000	2500	23500	8000	16600
LCC1067	12000	8000	20000	11000	18500
LCC1068	15000	0	15000	7000	10500
LCC1069	11000	0	16000	9000	13500
LCC1070	12000	0	12000	7000	10000
LCC1071	15000	0	15000	8000	10000
LCC1072	15000	0	15000	7000	12500
LCC1073	10000	4000	14000	2000	3000
LCC1074	20000	0	20000	3000	5000
LCC1075	20000	3000	23000	10000	17000
LCC1076	15000	0	25000	12000	22000
LCC1077	15000	0	21000	11000	17500
LCC1078	24000	0	24000	9000	13500
LCC1079	12000	0	12000	1000	4700
LCC1080	15000	0	40000	20000	27000
LCC1081	10000	0	15000	5000	11500
LCC1082	15000	3000	18000	14000	17000
LCC1083	11000	0	11000	7000	10500
LCC1084	15000	0	27000	15000	21000
LCC1085	30000	0	30000	5000	15500
LCC1086	8000	1000	9000	8000	8500
LCC1087	8000	8000	16000	13000	16000
LCC1088	9000	1000	10000	8000	10000
