subjectID	Principal_type_of_flooring	Principal_wall_material	Principal_roofing_material	Cooking_gas	Telephone_mobile	Almeria	Tabletop	Chair	Bench	Watch_or_clock	Cot_or_bed	Working_Radio	Working_TV	Bicycle	Motorcycle	Sewing_machine	Members_in_household	Number_of_years_lived_in_current_household	Number_of_rooms_in_current_household	Number_of_people_usually_sleeping_in_household	Maid_working_in_household	Household_food_availability
LCC1115	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	3	1	1	3	No	Sometimes deficit
LCC1116	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	Yes	7	0	2	7	No	Surplus
LCC1117	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	5	11	1	5	No	Sometimes deficit
LCC1118	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	6	17	4	6	No	Sometimes deficit
LCC1119	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	7	18	3	7	No	Sometimes deficit
LCC1120	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	7	7	1	7	No	Surplus
LCC1121	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	5	18	1	5	No	Neither deficit nor surplus
LCC1122	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	6	6	2	6	No	Surplus
LCC1123	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	No	Yes	No	Yes	Yes	No	Yes	4	8	1	4	No	Surplus
LCC1124	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	Yes	No	No	Yes	Yes	No	No	No	No	No	4	4	1	4	No	Surplus
LCC1125	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	5	5	2	5	No	Surplus
LCC1126	Wood	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	3	1	4	No	Surplus
LCC1127	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No	Yes	4	2	1	4	No	Surplus
LCC1128	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	4	1	4	No	Neither deficit nor surplus
LCC1129	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	7	2	1	7	No	Surplus
LCC1130	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	3	0	1	3	No	Surplus
LCC1131	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	4	3	1	4	No	Neither deficit nor surplus
LCC1132	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	Yes	No	No	9	2	2	9	No	Surplus
LCC1133	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	No	Yes	No	Yes	No	Yes	No	9	4	2	9	No	Surplus
LCC1134	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No	No	4	10	1	4	No	Surplus
LCC1135	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	No	5	5	1	5	No	Neither deficit nor surplus
LCC1136	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	5	2	2	5	No	Deficit in whole year
LCC1137	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	Yes	No	No	No	Yes	No	No	No	No	No	3	3	1	3	No	Sometimes deficit
LCC1138	Wood	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No	5	11	1	5	No	Sometimes deficit
LCC1139	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	0	1	4	No	Sometimes deficit
LCC1140	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	No	No	No	Yes	Yes	Yes	No	No	No	5	3	3	5	No	Sometimes deficit
LCC1141	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	3	0	1	3	No	Sometimes deficit
LCC1142	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	4	6	1	4	No	Sometimes deficit
LCC1143	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	3	0	1	3	No	Sometimes deficit
LCC1144	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	5	2	2	5	No	Deficit in whole year
LCC1145	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	No	No	No	5	14	2	5	No	Sometimes deficit
LCC1146	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	Yes	4	2	1	4	No	Deficit in whole year
LCC1147	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	0	1	4	No	Deficit in whole year
LCC1148	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	3	3	1	3	No	Sometimes deficit
LCC1149	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	6	2	1	6	No	Deficit in whole year
LCC1150	Cement/Concrete	Tin wall	Finished roof (concrete)	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	4	36	1	4	No	Deficit in whole year
LCC1151	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	3	3	1	3	No	Sometimes deficit
LCC1152	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	No	No	No	3	2	1	3	No	Deficit in whole year
LCC1153	Ceramic Tiles	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	No	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	7	6	2	7	No	Sometimes deficit
LCC1154	Cement/Concrete	Tin wall	Tin roof	No	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	6	5	3	6	No	Sometimes deficit
