sampleID	NO_TOY_PLAY	BOOK_AND_TOY_FREE_PLAY	DIVIDED_ATTENTION_TASK	SNACK_TIME
LCC1143_52	4.0	4.0	4.0	8.0
LCC1144_0	4.0	4.0	4.0	8.0
LCC1144_52	4.0	4.0	4.0	8.0
LCC1145_0	4.0	4.0	4.0	8.0
LCC1145_52	4.0	4.0	4.0	5.0
LCC1146_0	4.0	4.0	4.0	5.0
LCC1146_52	4.0	4.0	4.0	8.0
LCC1147_0	4.0	4.0	4.0	5.0
LCC1147_52	4.0	4.0	4.0	8.0
LCC1148_0	4.0	4.0	4.0	5.0
LCC1148_52	4.0	4.0	4.0	3.0
LCC1149_0	4.0	4.0	4.0	5.0
LCC1149_52	4.0	4.0	4.0	8.0
LCC1150_0	4.0	4.0	4.0	8.0
LCC1151_0	4.0	4.0	4.0	8.0
LCC1151_52	4.0	4.0	4.0	8.0
LCC1152_0	4.0	4.0	4.0	8.0
LCC1152_52	4.0	4.0	4.0	8.0
LCC1153_0	4.0	4.0	4.0	5.0
LCC1153_52	4.0	4.0	4.0	12.0
LCC1154_0	4.0	4.0	4.0	5.0
LCC1154_52	4.0	4.0	4.0	11.0
LCC1155_0	4.0	4.0	4.0	8.0
LCC1155_52	4.0	4.0	4.0	5.0
LCC1156_0	4.0	4.0	4.0	8.0
LCC1156_52	4.0	4.0	4.0	5.0
LCC1157_0	4.0	4.0	4.0	8.0
LCC1157_52	4.0	4.0	4.0	8.0
LCC1158_0	4.0	4.0	4.0	8.0
LCC1158_52	4.0	4.0	6.0	8.0
LCC1159_0	5.0	5.0	5.0	8.0
LCC1159_52	4.0	4.0	4.0	8.0
LCC2001_0	4.0	4.0	4.0	5.0
LCC2001_52	4.0	4.0	4.0	8.0
LCC2002_0	4.0	4.0	4.0	10.0
LCC2002_52	4.0	4.0	4.0	5.0
LCC2003_0	4.0	4.0	4.0	10.0
LCC2003_52	4.0	4.0	4.0	5.0
LCC2004_0	4.0	4.0	4.0	10.0
LCC2004_52	4.0	4.0	4.0	8.0
LCC2005_0	4.0	4.0	4.0	5.0
LCC2005_52	4.0	4.0	4.0	5.0
LCC2006_0	4.0	4.0	4.0	5.0
LCC2006_52	4.0	4.0	4.0	8.0
LCC2007_0	4.0	4.0	4.0	5.0
LCC2008_0	4.0	4.0	4.0	5.0
LCC2008_52	4.0	4.0	4.0	5.0
LCC2010_0	4.0	4.0	4.0	5.0
LCC2010_52	4.0	4.0	4.0	8.0
LCC2011_0	4.0	4.0	4.0	5.0
LCC2012_0	4.0	4.0	4.0	10.0
LCC2012_52	4.0	4.0	4.0	8.0
LCC2013_0	4.0	4.0	4.0	5.0
LCC2013_52	4.0	4.0	4.0	8.0
LCC2014_0	4.0	4.0	4.0	6.0
LCC2014_52	4.0	4.0	4.0	5.0
LCC2015_0	4.0	4.0	4.0	5.0
LCC2015_52	4.0	4.0	4.0	8.0
LCC2016_0	4.0	4.0	4.0	5.0
LCC2016_52	4.0	4.0	4.0	8.0
LCC2018_0	4.0	4.0	4.0	5.0
LCC2018_52	4.0	4.0	4.0	5.0
LCC2019_0	4.0	4.0	4.0	10.0
LCC2020_0	4.0	4.0	4.0	5.0
LCC2020_52	4.0	4.0	4.0	8.0
LCC2021_0	4.0	4.0	4.0	5.0
LCC2021_52	4.0	4.0	4.0	8.0
LCC2022_0	4.0	4.0	4.0	5.0
LCC2022_52	4.0	4.0	4.0	5.0
LCC2023_0	4.0	4.0	4.0	10.0
LCC2023_52	4.0	4.0	4.0	8.0
LCC2024_0	4.0	4.0	4.0	5.0
LCC2024_52	4.0	4.0	4.0	8.0
LCC2025_0	4.0	4.0	4.0	5.0
LCC2025_52	4.0	4.0	4.0	8.0
LCC2026_0	4.0	4.0	4.0	5.0
LCC2026_52	4.0	4.0	4.0	5.0
LCC2027_0	4.0	4.0	4.0	5.0
LCC2027_52	4.0	4.0	4.0	5.0
LCC2028_0	4.0	4.0	4.0	8.0
LCC2028_52	4.0	4.0	4.0	8.0
LCC2029_0	4.0	4.0	4.0	5.0
LCC2029_52	4.0	4.0	4.0	8.0
LCC2030_0	4.0	4.0	4.0	5.0
LCC2030_52	4.0	4.0	4.0	8.0
LCC2031_0	4.0	4.0	3.0	5.0
LCC2031_52	4.0	4.0	4.0	8.0
LCC2032_0	4.0	4.0	4.0	5.0
LCC2032_52	4.0	4.0	4.0	8.0
LCC2033_0	4.0	4.0	4.0	5.0
LCC2033_52	4.0	4.0	4.0	5.0
LCC2034_0	4.0	4.0	4.0	5.0
LCC2034_52	4.0	4.0	4.0	5.0
LCC2035_0	4.0	4.0	4.0	5.0
LCC2036_0	4.0	4.0	4.0	8.0
LCC2036_52	4.0	4.0	4.0	8.0
LCC2037_0	4.0	4.0	4.0	5.0
LCC2037_52	4.0	4.0	4.0	8.0
LCC2038_0	4.0	4.0	4.0	5.0
LCC2038_52	4.0	4.0	4.0	8.0
LCC2039_0	4.0	4.0	4.0	5.0
LCC2039_52	4.0	4.0	4.0	8.0
LCC2040_0	4.0	4.0	4.0	10.0
LCC2040_52	4.0	4.0	4.0	8.0
LCC2041_0	4.0	4.0	4.0	5.0
LCC2041_52	4.0	4.0	4.0	8.0
LCC2042_0	4.0	4.0	4.0	5.0
LCC2042_52	4.0	4.0	4.0	8.0
LCC2043_0	4.0	4.0	4.0	5.0
LCC2043_52	4.0	4.0	4.0	5.0
LCC2044_0	4.0	4.0	4.0	8.0
LCC2044_52	4.0	4.0	4.0	11.0
LCC2045_0	4.0	4.0	4.0	10.0
LCC2045_52	4.0	4.0	4.0	5.0
LCC2046_0	4.0	4.0	4.0	5.0
LCC2047_0	4.0	4.0	4.0	5.0
LCC2047_52	4.0	4.0	4.0	8.0
LCC2048_0	4.0	4.0	4.0	10.0
LCC2048_52	4.0	4.0	4.0	8.0
LCC2049_0	4.0	4.0	4.0	5.0
LCC2051_0	4.0	4.0	4.0	8.0
LCC2051_52	4.0	6.0	4.0	5.0
LCC2053_0	4.0	4.0	4.0	5.0
LCC2053_52	4.0	4.0	4.0	5.0
LCC2054_0	4.0	4.0	4.0	8.0
LCC2054_52	4.0	4.0	4.0	5.0
LCC2055_0	4.0	4.0	4.0	8.0
LCC2055_52	4.0	4.0	4.0	8.0
LCC2056_0	4.0	4.0	4.0	7.0
LCC2056_52	4.0	4.0	4.0	8.0
LCC2057_0	4.0	4.0	4.0	5.0
LCC2057_52	4.0	4.0	4.0	5.0
LCC2058_0	4.0	4.0	4.0	5.0
LCC2058_52	4.0	4.0	4.0	8.0
LCC2059_0	4.0	4.0	4.0	10.0
LCC2059_52	4.0	4.0	4.0	5.0
LCC2060_0	4.0	4.0	4.0	5.0
LCC2060_52	4.0	4.0	4.0	8.0
LCC2061_0	4.0	4.0	4.0	5.0
LCC2061_52	4.0	4.0	4.0	5.0
LCC2062_0	4.0	4.0	4.0	5.0
